"Monthly Mean Avg Temperature for ANN ARBOR U OF MICH, MI",,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1881,M,M,30.2,41.8,63.6,63.9,72.6,72.5,69.7,52.6,37.2,33.8,53.8
1882,23.6,33.2,35.3,42.9,50.2,64.2,67.1,68.9,60.8,53,36.3,23.8,46.6
1883,14.6,20.4,25.5,43.4,51.8,65.4,68.2,64.5,57.1,47.4,38.8,26.5,43.6
1884,14.4,24,30.1,42.4,55.3,67.2,67,65.2,65.5,52,34.8,24.2,45.2
1885,15.7,10.9,21.6,43.4,55.8,64.5,73.9,65,60.5,46.9,38.4,27.8,43.7
1886,18.5,22.4,32.8,49.1,58.3,66.6,71.7,69,63.1,52.7,34.5,19.7,46.5
1887,18.1,24.7,28.5,45.6,63.3,68.5,76.4,68.4,59.3,45.3,36.5,27.2,46.8
1888,16,22,27.2,42.9,53.9,67.7,69.9,68.3,58.1,45,39.3,29.9,45
1889,28.2,18.1,35.8,45.4,56.7,64,70.6,68.3,61.6,45.5,38.1,37.5,47.5
1890,32.3,31.8,28.6,46.4,54.4,71.2,71.3,65.8,58.8,49.7,39.8,25.4,48
1891,27.6,30.3,29.8,47.3,55.4,67.7,66.1,68.6,65.6,48.4,34.6,34.9,48
1892,19.1,27.1,28.9,44,55.4,68.8,70.9,70,62,49.6,33.9,25,46.2
1893,14.3,19.4,30.4,42.4,53.6,68.8,71.5,68.4,60.7,50.4,36.6,27.6,45.3
1894,28.9,21.8,38.5,46.8,55.1,69.8,72.8,68.9,64,50,33.7,31.4,48.5
1895,18.4,15.9,27.6,48.4,59.4,71.4,70.7,70.1,66.2,45.5,37.2,28.2,46.6
1896,25.6,24.9,28.5,52,65.2,68.3,71.2,68.8,58.1,46.3,38.7,27.8,47.9
1897,20.7,26.1,33.9,44.1,55.1,64.9,75.6,67,65.6,54.6,36.5,24.2,47.4
1898,26.8,24.5,38.2,45.2,58.5,69.3,74,72.7,65.5,51.3,34.7,25.2,48.8
1899,22.6,18.2,28.8,50.9,60.3,69.2,71.9,72.6,59.8,55.5,41.3,26.8,48.2
1900,26.3,19.8,24.7,47.8,60.2,66.3,72,75.4,67.2,59,37.6,29.2,48.8
1901,23.8,15.3,31.4,47.3,57,69,76.6,72,63.4,52.2,35.2,23.1,47.2
1902,22.7,20.4,38.9,46.3,58.6,63.7,72.1,67,61.2,51.1,45.1,24.8,47.7
1903,22.6,24,41.5,45.9,59.2,62.5,71.1,66.1,62,51.8,35.1,20.9,46.9
1904,14.4,14,32.5,41.4,58,66.8,70.8,67.4,62.4,49.5,39.4,23,45
