"Monthly Total Precipitation for ANN ARBOR U OF MICH, MI",,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1880,3.2,1.25,M,M,M,M,7.29,4.22,2.29,3.58,2.08,0.54,M
1881,M,M,2.25,2.15,1.56,5.68,2.13,2.07,3.24,7.38,4.06,3.01,M
1882,1.29,2.29,3.98,1.36,5.06,5.77,2.52,6.81,2.17,2.08,2.14,1.22,36.69
1883,1,0.78,1,1.6,6.29,4.59,7.29,2.51,1.11,3.37,3,0.72,33.26
1884,1.07,0.65,0.56,1.05,3.34,3.77,5.46,1.93,2.91,2.46,1.84,4.04,29.08
1885,2.54,1.41,1.19,3.46,3.72,3.93,2.05,6.02,2.69,3.43,1.74,2.87,35.05
1886,2.42,0.91,1.87,2,2.67,0.89,0.71,2.55,5.97,1.4,2.2,0.65,24.24
1887,1.37,6.04,1.52,1.21,1.95,3.86,1.33,1.56,3.93,1.98,2.08,2.76,29.59
1888,1,1.66,2.51,1.5,3.03,4.76,1.39,1.73,1.18,3.04,3.26,1,26.06
1889,1,0.37,1.06,0.81,4.56,4.04,2.79,0.34,1.35,0.8,2.6,3.59,23.31
1890,3.11,1.95,1.69,3.9,5.19,3.34,0.93,4.86,1.55,5.26,2.95,0.98,35.71
1891,1.02,3.26,M,1.77,2,2.62,2.54,2.54,1.61,M,4.96,3.85,M
1892,M,1.9,1.15,1.63,M,M,2.21,1.25,4.72,0.5,M,2.5,M
1893,M,M,M,M,M,M,2.47,M,M,M,M,M,M
1894,M,M,M,M,M,M,M,T,M,M,M,M,M
1895,M,M,M,M,M,M,M,M,0.94,0.34,3.42,M,M
1896,M,1.2,M,M,M,M,M,M,M,M,M,M,M
1897,2.79,1.46,3.4,3.07,4.74,2.69,1.66,2.93,1.35,1.78,4.79,2,32.66
1898,4,2.16,2.95,1.57,2.21,2.82,1.45,1.16,4.03,5.48,3.13,1.94,32.9
1899,1.53,1.54,3.55,0.21,4.35,2.5,1.92,0.51,2.68,3.01,2.99,2.06,26.85
1900,1.06,3.71,2.7,1.43,4.91,2.3,2.91,2.04,1.1,2.23,3.73,0.43,28.55
1901,1.45,2.22,1.74,1.37,1.72,2.01,3.35,3.14,1.95,2.55,1.28,3.05,25.83
1902,0.6,1.11,1.21,0.77,4.72,7.56,10.78,0.63,6.41,1.95,1.83,2.48,40.05
1903,1.27,3.47,1.79,4.19,M,6.04,4.65,5.45,2.33,1.47,1.58,2.39,M
1904,2.51,2.49,4.8,2.09,2.31,0.97,1.91,4.55,3.91,0.81,0.1,1.07,27.52
1905,1.64,1.21,1.64,2.8,4.93,4.32,4.76,4.06,2.51,3.45,3.67,1.61,36.6
1906,1.91,0.71,2.96,2.19,4.87,3.05,5.23,2.82,1.62,3.03,1.61,1.58,31.58
1907,4.68,1.22,2.24,2.58,2.82,1.94,3.63,1.06,4.19,1.77,2.34,2.91,31.38
1908,1.06,4.82,2.5,2.77,4.34,3.62,1.27,6.29,0.27,1.53,0.98,1.6,31.05
1909,2.5,1.94,1.22,4.1,2.25,4.21,2.28,1.25,0.92,1.27,4.34,1.81,28.09
1910,2.48,1.43,0.48,3.41,3.63,1.51,1.61,1.93,2.95,1.85,2.34,2.27,25.89
1911,1.3,1.74,1.35,3.51,1.05,3.6,1.15,2.04,3.95,4.95,2.78,1.73,29.15
1912,1.69,0.93,1.25,3.96,4.01,0.91,3.34,3.61,3.56,2.59,2.23,1.02,29.1
1913,3.02,0.95,3.92,2.88,5.34,0.24,1.26,1.07,1.38,3.86,1.82,0.84,26.58
1914,2.23,0.5,1.92,2.88,6.68,3.31,2.63,3.98,2.21,3.09,1.64,1.79,32.86
1915,1.09,0.26,0.8,0.89,3.69,3.66,3.94,4.24,5.39,0.69,2.05,1.46,28.16
1916,4.03,0.97,3.39,1.67,5.06,5.47,1.12,2.22,4,1.85,3.29,3.45,36.52
1917,0.92,0.35,3.6,3.82,4.95,7.21,3.9,4.4,3.11,8.26,0.67,0.85,42.04
1918,0.91,6.83,1.21,3.21,3.51,3.01,1.38,2.39,3.43,3.36,2.8,4.7,36.74
1919,1.4,2.9,3.5,5.4,4.17,4.34,1.53,3.06,2.67,2.94,2.95,0.51,35.37
1920,2.16,0.83,1.48,3.45,0.74,6.53,3.06,6.42,0.97,1.55,3.07,4.01,34.27
1921,0.45,1.48,3.93,3.9,2.14,3.16,2.17,4.54,4.36,1.95,3.33,1.63,33.04
1922,1.23,1.7,3.98,3.97,2.93,1.55,1.42,1.81,2.47,2.18,1.34,1.56,26.14
1923,1.66,0.99,2.59,1.66,3.75,2.86,4.93,2.73,4.04,1.39,1.38,3.75,M
1924,2.1,2.17,1.62,2.23,3.43,5.14,1.17,1.38,2.94,0.83,0.66,2.86,26.53
1925,0.75,1.92,2.5,1.95,1.31,1.6,3.61,4.31,5.96,3.83,3.87,1.11,32.72
1926,1.66,3.64,2.67,2.9,1.74,2.53,1.01,4.68,6.79,2.67,2.32,1.03,33.64
1927,1.53,1.34,1.63,1.65,3.84,2.6,5.2,0.51,5.02,1.84,4.59,3.6,33.35
1928,1.41,1.33,1.05,1.62,2.61,4.22,4.75,1.6,2.11,2.19,2.46,1.23,M
1929,3.43,0.78,3.57,4.55,3.09,3.29,1.63,0.62,1.74,4.96,2.95,1.3,31.91
1930,3.08,1.14,1.1,2.85,2.44,3.03,1.42,0.17,3.66,1.09,1.21,0.8,21.99
1931,0.63,0.86,1.38,1.36,3.32,2.99,1.49,2.49,2.97,1.58,3.49,M,M
1932,3.97,1.12,1.38,1.51,5.37,1.83,4.76,3.12,5.04,2.67,1.81,3.17,35.75
1933,0.91,1.71,1.52,4.02,4.35,2.65,2.25,0.19,2.4,1.44,1.48,1.35,M
1934,0.93,0.41,2.66,2.71,0.86,1.35,0.64,0.74,3.45,1.59,1.84,1.75,M
1935,1.67,1.69,2.15,1.67,4.16,2.19,1.91,3.74,1.5,0.85,2.69,1.57,M
1936,1.26,2.29,1.25,2.67,0.47,3.21,0.11,1.27,4.64,4.11,1.26,1.9,24.44
1937,2.78,1.15,0.93,6.66,3.41,4.93,4.3,4.5,1.16,2.07,1.54,1.86,35.29
1938,1.04,3.88,4.42,1.58,3.68,1.89,2.54,2.36,1.64,0.98,0.97,2.17,27.15
1939,2.22,4.54,1.93,4.26,0.68,4.22,1.97,0.76,3.49,1.49,0.25,0.72,26.53
1940,1.71,1.24,2.15,2.7,3.28,4.76,2.16,5.36,1.18,2.82,2.06,3.42,32.84
1941,1.66,0.59,1.54,2.47,2.52,4.01,2.39,2.65,1.83,4.2,3.19,0.84,27.89
1942,2.12,1.72,2.77,1.83,2.65,6.54,4.35,1.75,3.11,3.54,2.71,3.86,36.95
1943,2.4,1.67,2.92,1.79,10.49,3.37,4.15,2.96,2.28,1.39,2.12,0.49,36.03
