,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1876,78,73,72,76,79,85,87,80,86,81,72,72,78
1877,68,68,72,73,82,81,80,80,84,78,76,78,77
1878,74,73,64,80,78,83,81,85,88,84,83,71,79
1879,70,72,73,77,83,85,78,80,82,80,74,73,77
1880,63,74,73,76,78,83,85,83,81,81,77,62,76
1881,62,69,76,78,81,83,84,82,85,82,80,74,78
1882,70,64,70,85,80,84,82,83,84,81,76,67,77
1883,65,72,72,73,76,82,85,80,84,85,75,68,76
1884,67,68,71,78,79,85,88,82,81,76,72,70,76
1885,69,67,65,83,77,87,84,82,80,81,76,72,77
1886,63,64,70,75,80,79,78,77,84,82,79,67,75
1887,71,62,63,75,82,84,86,85,81,84,74,62,76
1888,59,63,65,77,77,80,85,83,84,81,78,66,75
1889,64,60,69,73,74,82,87,83,84,77,71,67,74
1890,65,69,74,75,80,81,85,86,82,80,74,73,77
1891,56,60,72,73,74,80,83,80,82,71,71,66,72
1892,62,62,61,73,78,85,82,79,84,81,71,58,73
1893,62,55,59,72,76,78,77,80,81,83,71,60,71
1894,60,54,71,75,74,78,78,81,84,82,77,62,73
1895,63,58,75,71,76,79,75,86,82,79,73,65,74
1896,58,65,66,78,79,82,83,81,83,79,72,66,74
1897,67,60,65,73,76,81,87,85,86,76,77,63,75
1898,68,64,67,75,75,83,78,84,84,82,81,71,76
1899,62,65,69,75,77,83,87,81,86,77,69,71,75
1900,66,62,70,80,77,78,85,81,83,79,79,66,76
1901,70,59,62,76,78,82,88,82,80,83,74,65,75
1902,59,61,71,68,78,82,87,87,85,79,78,71,76
1903,72,65,74,78,75,78,86,80,84,84,87,66,77
1904,59,72,71,78,78,83,84,78,81,81,70,70,75
1905,69,56,70,74,77,87,84,85,82,79,75,76,76
1906,58,67,64,70,73,80,86,82,84,79,70,64,73
1907,69,57,67,70,74,80,84,84,83,76,79,59,74
1908,61,57,68,76,77,82,83,84,82,77,66,64,73
1909,68,57,73,73,76,83,83,80,83,76,71,63,74
1910,75,52,59,71,75,84,86,85,84,83,72,66,74
1911,65,62,70,69,74,82,83,83,83,77,72,66,74
1912,58,66,67,69,75,83,84,81,83,79,74,72,74
1913,63,61,59,75,73,79,84,79,83,81,71,69,73
1914,61,66,75,68,77,81,78,78,82,76,77,69,74
1915,66,67,63,76,76,84,80,84,84,80,78,65,75
1916,65,68,65,72,78,80,84,83,83,84,81,71,76
1917,59,56,66,69,73,82,79,80,87,82,69,59,72
1918,55,62,65,73,76,84,82,80,81,83,75,71,74
1919,64,69,65,68,74,80,82,80,81,82,81,65,74
1920,63,65,71,73,80,82,79,84,81,78,75,66,75
1921,64,59,59,73,78,83,83,84,86,82,67,64,74
1922,60,71,63,71,77,78,82,80,79,77,74,58,73
1923,65,68,70,74,81,83,84,79,80,81,75,76,76
1924,66,64,59,75,72,81,78,78,80,78,70,67,72
1925,63,64,58,70,77,80,82,85,85,81,75,71,74
1926,62,62,66,66,77,77,78,78,79,73,64,68,71
1927,62,64,68,73,74,78,81,78,82,78,75,71,74
1928,67,62,66,74,79,84,85,87,82,82,76,65,76
1929,52,56,51,69,77,76,78,75,82,79,78,74,71
1930,63,64,72,73,73,79,82,79,77,77,72,73,74
1931,65,71,59,65,71,78,84,78,80,79,74,70,73
1932,68,59,64,68,70,80,82,79,84,77,74,69,73
1933,64,60,70,75,74,76,78,78,72,76,73,68,72
1934,59,57,63,71,73,76,84,79,84,79,69,66,72
1935,63,68,62,69,70,74,78,81,83,75,71,69,72
1936,57,60,63,68,75,78,79,77,79,74,69,70,71
1937,65,70,63,68,71,77,80,73,76,78,74,59,71
1938,59,56,73,65,77,82,80,81,78,78,66,64,72
1939,54,55,59,71,72,79,78,81,79,78,73,67,71
1940,53,54,59,68,70,76,75,81,79,76,76,67,70
1941,64,58,66,71,74,81,84,83,83,73,75,69,73
1942,60,65,67,64,72,77,77,77,77,72,68,63,70
1943,57,55,58,67,73,76,79,78,79,78,71,64,70
1944,54,56,67,68,75,78,80,78,76,80,76,66,71
1945,60,57,64,66,75,81,81,80,79,83,73,64,72
1946,63,60,67,70,76,76,81,81,77,78,78,68,73
1947,70,62,67,66,79,86,80,77,81,74,67,64,73
1948,65,59,68,75,76,80,82,83,76,77,71,72,74
1949,65,67,61,62,74,80,79,79,82,81,74,70,73
1950,62,62,61,72,76,83,78,83,78,76,73,65,72
1951,61,62,64,69,72,76,84,80,79,80,67,63,71
1952,62,67,68,72,69,81,83,81,81,74,75,70,74
1953,59,59,66,61,71,83,82,82,82,74,62,66,71
1954,67,62,60,72,71,81,80,77,78,74,68,61,71
1955,54,56,68,70,75,77,76,78,77,76,68,59,70
1956,59,55,65,68,75,76,81,75,81,79,70,54,70
1957,51,58,50,67,70,79,83,78,78,74,67,63,68
1958,57,55,62,65,68,75,80,79,78,76,71,65,69
1959,61,69,64,62,69,78,79,79,76,76,72,64,71
1960,51,54,55,63,74,75,76,78,78,72,72,60,67
1961,54,49,61,63,69,75,74,77,72,78,63,58,66
1962,52,48,58,61,70,76,81,71,70,70,71,62,66
1963,46,48,59,68,74,78,76,77,73,74,65,59,66
1964,60,56,57,75,67,73,80,77,77,73,62,60,68
1965,57,51,48,55,72,77,80,71,72,63,61,57,64
1966,46,51,57,68,62,73,76,71,73,65,57,47,62
1967,46,57,54,58,62,67,73,67,74,66,61,53,62
1968,44,44,56,62,69,72,78,79,73,68,56,59,63
1969,56,60,58,61,61,67,73,74,71,64,63,51,63
1970,47,51,52,68,68,77,75,69,73,71,61,54,64
1971,49,54,53,64,70,73,75,72,77,71,60,55,64
1972,59,58,54,66,65,71,76,70,70,63,56,56,64
1973,55,52,47,67,63,74,71,69,70,65,53,40,61
1974,40,55,57,62,62,74,79,73,72,67,54,56,63
1975,51,48,58,65,66,78,70,67,67,69,67,57,64
1976,44,59,59,67,70,76,77,76,74,66,59,52,65
1977,48,47,61,62,62,76,72,77,72,67,65,55,64
1978,50,49,52,61,68,71,72,66,73,67,60,54,62
1979,53,58,51,59,61,69,72,72,71,67,67,54,63
1980,52,44,54,63,67,72,79,77,73,64,61,51,63
1981,44,51,58,57,64,76,75,71,71,63,61,51,62
1982,51,49,56,62,67,72,76,75,73,67,65,58,64
1983,51,50,59,69,64,72,79,76,77,66,59,48,64
1984,51,52,56,65,69,79,78,70,72,64,60,57,64
1985,48,58,72,69,67,77,76,74,76,66,62,55,67
1986,47,49,59,63,69,74,81,74,78,66,61,57,65
1987,51,55,59,59,64,67,72,73,72,69,61,60,64
1988,52,46,59,60,62,72,77,76,78,60,56,47,62
1989,55,56,57,57,70,71,76,72,71,66,61,51,64
1990,50,67,49,59,60,68,71,68,70,66,64,49,62
1991,48,45,63,64,63,73,70,72,76,74,59,59,64
1992,56,49,66,61,64,71,72,70,62,71,63,52,63
1993,59,47,54,54,61,74,80,76,72,63,60,55,63
1994,55,45,55,57,63,71,69,68,74,68,60,53,62
1995,45,49,63,56 ),68,77,75,68,65,63,48,42,60
1996,47,48,53,55,65,72,74,72,72,70,65,55,62
1997,47,47,56,60,69,72,72,73,75,60,63,56,63
1998,59,60,57,76,71,76,76,78,77,71,55,57,68
1999,44,44,62,66,64,73,76,74,71,62,60,47,62
2000,51,38,44,55,68,74,70,69,69,67,63,46,60
2001,47,48,51,56,69,70,63,71,68,62,55,46,59
2002,46,48,49,57,64,69,70,66,69,62,50,57,59
2003,46,52,49,61,65,69,75,73,66,59,67,50,61
2004,43,45,53,51,67,66,62,65,68,69,60,49,58
2005,47,45,49,54,58,70,71,68,67,69,52,39,57
2006,44,53,48,57,65,71,74,69,68,66,59,52,61
2007,45,45,44,59,58,66,74,66,71,63,56,54,58
2008,45,41,52,59,65,72,71,74,69,66,56,53,60
2009,48,50,48,54,64,72,72,69,64,64,63,51,60
2010,41,60,61,62,60,67,70,67,68,68,56,50,61
2011,36,52,47,50,63,71,67,71,68,61,58,48,58
2012,43,49,59,63,65,73,75,69,73,65,58,52,62
2013,47,48,55,55,61,74,73,70,69,72,55,52,61
2014,45,52,52,56,62,75,74,74,68,67,63,55,62
2015,52,59,57,71,62,75,80,78,79,66,74,57,68
2016,55,56,61,67,66,75 ),80,78,86,72,71,59,69
2017,53,49,60,66,72,73,78,83,79,82,67,56,68
2018,54 ),56,65,66,71 ),80,77,77,86,74,72,61,70
2019,51,59,60,63,65,81,89,80,79,80,69,66,70
2020,65,55,65,66,75,82,89,76,83,75,65,61,71
2021,57,49,62,60,73,77,83,80,82,76,65,62 ),69
,,,,,,,,,,,,,
Remarks,,,,,,,,,,,,,
